,artist_name,artist_unique_id,edition_number,year,artist_nationality,artist_nationality_other,artist_gender,artist_race,artist_ethnicity,book,space_ratio_per_page_total,moma_count,moma_count_to_date,whitney_count,whitney_count_to_date
160,Auguste Renoir,43,12,2005,French,French,Male,White,Not Hispanic or Latinx,gardner,0.4755496761,0,1,0,0
161,Auguste Renoir,43,13,2009,French,French,Male,White,Not Hispanic or Latinx,gardner,0.4148059113,0,1,0,0
162,Auguste Renoir,43,14,2013,French,French,Male,White,Not Hispanic or Latinx,gardner,0.5415067881,0,1,0,0
163,Auguste Renoir,43,15,2016,French,French,Male,White,Not Hispanic or Latinx,gardner,0.7689036648,0,1,0,0
164,Auguste Renoir,43,16,2020,French,French,Male,White,Not Hispanic or Latinx,gardner,0.5856498527,0,1,0,0
165,Barbara Kruger,45,9,1991,American,American,Female,White,Not Hispanic or Latinx,gardner,0.4041849148,0,2,0,4
166,Barbara Kruger,45,10,1996,American,American,Female,White,Not Hispanic or Latinx,gardner,0.3616520583,0,2,0,4
167,Barbara Kruger,45,11,2001,American,American,Female,White,Not Hispanic or Latinx,gardner,0.5738740469,0,2,0,5
168,Barbara Kruger,45,12,2005,American,American,Female,White,Not Hispanic or Latinx,gardner,0.28262324,0,2,0,6
169,Barbara Kruger,45,13,2009,American,American,Female,White,Not Hispanic or Latinx,gardner,0.3224538856,0,2,1,8
170,Barbara Kruger,45,14,2013,American,American,Female,White,Not Hispanic or Latinx,gardner,0.3984096898,0,2,1,11
171,Barbara Kruger,45,15,2016,American,American,Female,White,Not Hispanic or Latinx,gardner,0.432472553,0,2,0,11
172,Barbara Kruger,45,16,2020,American,American,Female,White,Not Hispanic or Latinx,gardner,0.4360272459,0,2,0,12
173,Barnett Newman,46,7,1980,American,American,Male,White,Not Hispanic or Latinx,gardner,0.5289895863,0,2,0,7
174,Barnett Newman,46,8,1986,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4267572051,0,2,0,7
175,Barnett Newman,46,9,1991,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3642822384,0,2,0,7
176,Barnett Newman,46,10,1996,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3999693053,0,2,0,7
177,Barnett Newman,46,11,2001,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3553229806,0,2,0,7
178,Barnett Newman,46,12,2005,American,American,Male,White,Not Hispanic or Latinx,gardner,0.2499771919,0,2,1,10
179,Barnett Newman,46,13,2009,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3947883439,0,2,1,13
180,Barnett Newman,46,14,2013,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3962214723,0,2,0,15
181,Barnett Newman,46,15,2016,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4175042524,0,2,1,17
182,Barnett Newman,46,16,2020,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4146876534,0,2,0,18
183,Ben Shahn,48,4,1959,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4565041745,0,3,1,22
184,Ben Shahn,48,5,1970,American,American,Male,White,Not Hispanic or Latinx,gardner,0.2841611122,0,4,0,29
185,Ben Shahn,48,6,1975,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3010575793,0,4,0,29
186,Ben Shahn,48,7,1980,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3303546299,0,4,0,29
187,Ben Shahn,48,8,1986,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3203400373,0,4,0,29
188,Ben Shahn,48,9,1991,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4959610706,0,4,0,29
189,Ben Shahn,48,10,1996,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4872957948,0,4,0,29
190,Benjamin West,49,7,1980,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3915705038,0,0,0,0
191,Benjamin West,49,8,1986,American,American,Male,White,Not Hispanic or Latinx,gardner,0.8026382456,0,0,0,0
192,Benjamin West,49,9,1991,American,American,Male,White,Not Hispanic or Latinx,gardner,0.8558765249,0,0,0,0
193,Benjamin West,49,10,1996,American,American,Male,White,Not Hispanic or Latinx,gardner,0.6106203745,0,0,0,0
194,Benjamin West,49,11,2001,American,American,Male,White,Not Hispanic or Latinx,gardner,0.9523140852,0,0,0,0
195,Benjamin West,49,12,2005,American,American,Male,White,Not Hispanic or Latinx,gardner,0.455737007,0,0,0,0
196,Benjamin West,49,13,2009,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3865594132,0,0,0,0
197,Benjamin West,49,14,2013,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4347464287,0,0,0,0
198,Benjamin West,49,15,2016,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3929024277,0,0,0,0
199,Benjamin West,49,16,2020,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4035192685,0,0,0,0
200,Bernard Buffet,51,10,1996,French,French,Male,White,Not Hispanic or Latinx,gardner,0.2693973603,0,2,0,0
201,Berthe Morisot,52,10,1996,French,French,Female,White,Not Hispanic or Latinx,gardner,0.4741823267,0,0,0,0
202,Berthe Morisot,52,11,2001,French,French,Female,White,Not Hispanic or Latinx,gardner,0.5694837394,0,0,0,0
203,Berthe Morisot,52,12,2005,French,French,Female,White,Not Hispanic or Latinx,gardner,0.479655141,0,0,0,0
204,Berthe Morisot,52,13,2009,French,French,Female,White,Not Hispanic or Latinx,gardner,0.3953585132,0,0,0,0
205,Berthe Morisot,52,14,2013,French,French,Female,White,Not Hispanic or Latinx,gardner,0.3762655448,0,0,0,0
206,Berthe Morisot,52,15,2016,French,French,Female,White,Not Hispanic or Latinx,gardner,0.3965053348,0,0,0,0
207,Berthe Morisot,52,16,2020,French,French,Female,White,Not Hispanic or Latinx,gardner,0.4089500491,0,0,0,0
208,Boris Maluev,54,8,1986,Russian,Other,Male,White,Not Hispanic or Latinx,gardner,0.3298085562,0,0,0,0
209,Bridget Riley,56,5,1970,British,British,Female,White,Not Hispanic or Latinx,gardner,0.3369114858,0,0,0,0
210,Bridget Riley,56,6,1975,British,British,Female,White,Not Hispanic or Latinx,gardner,0.3700459353,0,0,0,0
211,Bridget Riley,56,7,1980,British,British,Female,White,Not Hispanic or Latinx,gardner,0.321383338,0,0,0,0
212,Bridget Riley,56,8,1986,British,British,Female,White,Not Hispanic or Latinx,gardner,0.2342248946,0,0,0,0
213,Bridget Riley,56,10,1996,British,British,Female,White,Not Hispanic or Latinx,gardner,0.2149312779,0,0,0,0
214,Bridget Riley,56,14,2013,British,British,Female,White,Not Hispanic or Latinx,gardner,0.263695622,0,0,0,0
215,Bridget Riley,56,15,2016,British,British,Female,White,Not Hispanic or Latinx,gardner,0.2503788465,0,0,0,0
216,Bridget Riley,56,16,2020,British,British,Female,White,Not Hispanic or Latinx,gardner,0.2468243741,0,0,0,0
217,Camille Pissarro,57,5,1970,Danish-French,Other,Male,White,Not Hispanic or Latinx,gardner,0.4500206636,0,3,0,0
218,Camille Pissarro,57,6,1975,Danish-French,Other,Male,White,Not Hispanic or Latinx,gardner,0.6232026493,0,3,0,0
219,Camille Pissarro,57,7,1980,Danish-French,Other,Male,White,Not Hispanic or Latinx,gardner,0.3980966789,0,3,0,0
220,Camille Pissarro,57,8,1986,Danish-French,Other,Male,White,Not Hispanic or Latinx,gardner,0.4115695625,0,3,0,0
221,Camille Pissarro,57,9,1991,Danish-French,Other,Male,White,Not Hispanic or Latinx,gardner,0.3024817518,0,3,0,0
222,Camille Pissarro,57,10,1996,Danish-French,Other,Male,White,Not Hispanic or Latinx,gardner,0.4123665632,0,3,0,0
223,Camille Pissarro,57,11,2001,Danish-French,Other,Male,White,Not Hispanic or Latinx,gardner,0.5290286419,0,3,0,0
224,Camille Pissarro,57,12,2005,Danish-French,Other,Male,White,Not Hispanic or Latinx,gardner,0.2169053918,1,4,0,0
