artist_name,edition_number,year,artist_nationality,artist_nationality_other,artist_gender,artist_race,artist_ethnicity,book,space_ratio_per_page_total,artist_unique_id
Barnett Newman,15,2016,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4175042524,46
Barnett Newman,16,2020,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4146876534,46
Ben Shahn,4,1959,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4565041745,48
Ben Shahn,5,1970,American,American,Male,White,Not Hispanic or Latinx,gardner,0.2841611122,48
Ben Shahn,6,1975,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3010575793,48
Ben Shahn,7,1980,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3303546299,48
Ben Shahn,8,1986,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3203400373,48
Ben Shahn,9,1991,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4959610706,48
Ben Shahn,10,1996,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4872957948,48
Benjamin West,7,1980,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3915705038,49
Benjamin West,8,1986,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3444432926,49
Benjamin West,9,1991,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4273479319,49
Benjamin West,10,1996,American,American,Male,White,Not Hispanic or Latinx,gardner,0.6106203745,49
Benjamin West,11,2001,American,American,Male,White,Not Hispanic or Latinx,gardner,0.5378778932,49
Benjamin West,12,2005,American,American,Male,White,Not Hispanic or Latinx,gardner,0.455737007,49
Benjamin West,13,2009,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3865594132,49
Benjamin West,14,2013,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4347464287,49
Benjamin West,15,2016,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3929024277,49
Benjamin West,16,2020,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4035192685,49
Bernard Buffet,10,1996,French,French,Male,White,Not Hispanic or Latinx,gardner,0.2693973603,51
Berthe Morisot,10,1996,French,French,Female,White,Not Hispanic or Latinx,gardner,0.4741823267,52
Berthe Morisot,11,2001,French,French,Female,White,Not Hispanic or Latinx,gardner,0.3666745394,52
Berthe Morisot,12,2005,French,French,Female,White,Not Hispanic or Latinx,gardner,0.479655141,52
Berthe Morisot,13,2009,French,French,Female,White,Not Hispanic or Latinx,gardner,0.3953585132,52
Berthe Morisot,14,2013,French,French,Female,White,Not Hispanic or Latinx,gardner,0.3762655448,52
Berthe Morisot,15,2016,French,French,Female,White,Not Hispanic or Latinx,gardner,0.3965053348,52
Berthe Morisot,16,2020,French,French,Female,White,Not Hispanic or Latinx,gardner,0.4089500491,52
Boris Maluev,8,1986,Russian,Other,Male,White,Not Hispanic or Latinx,gardner,0.3298085562,54
Bridget Riley,5,1970,British,British,Female,White,Not Hispanic or Latinx,gardner,0.3369114858,56
Bridget Riley,6,1975,British,British,Female,White,Not Hispanic or Latinx,gardner,0.3700459353,56
Bridget Riley,7,1980,British,British,Female,White,Not Hispanic or Latinx,gardner,0.321383338,56
Bridget Riley,8,1986,British,British,Female,White,Not Hispanic or Latinx,gardner,0.2342248946,56
Bridget Riley,10,1996,British,British,Female,White,Not Hispanic or Latinx,gardner,0.2149312779,56
Bridget Riley,14,2013,British,British,Female,White,Not Hispanic or Latinx,gardner,0.263695622,56
Bridget Riley,15,2016,British,British,Female,White,Not Hispanic or Latinx,gardner,0.2503788465,56
Bridget Riley,16,2020,British,British,Female,White,Not Hispanic or Latinx,gardner,0.2468243741,56
Camille Pissarro,5,1970,Danish-French,Other,Male,White,Not Hispanic or Latinx,gardner,0.4500206636,57
Camille Pissarro,6,1975,Danish-French,Other,Male,White,Not Hispanic or Latinx,gardner,0.6232026493,57
Camille Pissarro,7,1980,Danish-French,Other,Male,White,Not Hispanic or Latinx,gardner,0.3980966789,57
Camille Pissarro,8,1986,Danish-French,Other,Male,White,Not Hispanic or Latinx,gardner,0.4115695625,57
Camille Pissarro,9,1991,Danish-French,Other,Male,White,Not Hispanic or Latinx,gardner,0.3024817518,57
Camille Pissarro,10,1996,Danish-French,Other,Male,White,Not Hispanic or Latinx,gardner,0.4123665632,57
Camille Pissarro,11,2001,Danish-French,Other,Male,White,Not Hispanic or Latinx,gardner,0.2909482759,57
