ArtistName,EditionNumber,NumberofWorldCatPublications,ArtistUniqueID ,ArtistNationality,ArtistGender,ArtistRace,ArtistEthnicity,TitleofWork,Year,WidthofActualWork(cm),HeightofWorkinJanson(cm),WidthofWorkinJanson(cm),LengthofText(cm),WidthofText(cm),AreaWorkinJanson(cm^2),AreaTextinJanson(cm^2),TotalSpace(cm^2),PageArea(cm^2),SpaceRatioPerPage,Book,,,,,,,,,,,WidthofActualWork(in),,HeightofWorkinJanson(in inches),WidthofWorkinJanson(in),LengthofText(in),WidthofText(in)
Charles Demuth,6,,43,American,Male,White,Not Hispanic or Latinx,I Saw the Figure 5 in Gold,2001,75.565,10.795,8.89,12.065,8.89,95.96755,107.25785,203.2254,640.2,0.3174404873,janson,,,,,,,,,,,29.75,,4.25,3.5,4.75,3.5
Charles Demuth,7,,43,American,Male,White,Not Hispanic or Latinx,My Egypt,2007,76.2,11.43,9.525,12.7,8.89,108.87075,112.903,221.77375,623.5,0.35569166,janson,,,,,,,,,,,30,,4.5,3.75,5,3.5
Charles Demuth,8,,43,American,Male,White,Not Hispanic or Latinx,My Egypt,2011,76.2,16.8275,13.97,13.0175,8.89,235.080175,115.725575,350.80575,616.59,0.5689449229,janson,,,,,,,,,,,30,,6.625,5.5,5.125,3.5
Cindy Sherman,5,,44,American,Female,White,Not Hispanic or Latinx,Untitled Film Still #2,1995,25.4,11.43,8.89,12.3825,8.89,101.6127,110.080425,211.693125,618.45,0.3422962649,janson,,,,,,,,,,,10,,4.5,3.5,4.875,3.5
Cindy Sherman,6,,44,American,Female,White,Not Hispanic or Latinx,Untitled Film Still #2,2001,25.4,11.43,8.5725,11.43,8.89,97.983675,101.6127,199.596375,640.2,0.3117719072,janson,,,,,,,,,,,10,,4.5,3.375,4.5,3.5
Cindy Sherman,7,,44,American,Female,White,Not Hispanic or Latinx,Untitled Film Still #15,2007,20.32,12.065,9.525,8.255,8.89,114.919125,73.38695,188.306075,623.5,0.3020145549,janson,,,,,,,,,,,8,,4.75,3.75,3.25,3.5
Cindy Sherman,8,,44,American,Female,White,Not Hispanic or Latinx,Untitled Film Still #15,2011,20.32,12.7,10.16,14.605,8.89,129.032,129.83845,258.87045,616.59,0.4198421155,janson,,,,,,,,,,,8,,5,4,5.75,3.5
Claude Monet,1,,45,French,Male,White,Not Hispanic or Latinx,"Water Lilies, Giverny",1963,41.91,12.7,9.8425,6.985,8.255,124.99975,57.661175,182.660925,631.47,0.2892630291,janson,,,,,,,,,,,16.5,,5,3.875,2.75,3.25
Claude Monet,1.1,,45,French,Male,White,Not Hispanic or Latinx,"Water Lilies, Giverny",1969,41.91,12.7,9.8425,6.985,8.255,124.99975,57.661175,182.660925,635.1,0.2876097071,janson,,,,,,,,,,,16.5,,5,3.875,2.75,3.25
Claude Monet,2,,45,French,Male,White,Not Hispanic or Latinx,"The River (Au Bord de l'Eau, Bennecourt)",1977,100.33,18.415,22.5425,16.51,8.255,415.1201375,136.29005,551.4101875,611.1,0.9023239854,janson,,,,,,,,,,,39.5,,7.25,8.875,6.5,3.25
Claude Monet,2,,45,French,Male,White,Not Hispanic or Latinx,"Water Lilies, Giverny",1977,73.66,12.7,9.2075,6.35,8.255,116.93525,52.41925,169.3545,611.1,0.2771305842,janson,,,,,,,,,,,29,,5,3.625,2.5,3.25
Claude Monet,3,,45,French,Male,White,Not Hispanic or Latinx,"The River (Au Bord de l'Eau, Bennecourt)",1986,100.33,18.415,22.5425,15.24,8.89,415.1201375,135.4836,550.6037375,599.96,0.9177340781,janson,,,,,,,,,,,39.5,,7.25,8.875,6,3.5
Claude Monet,3,,45,French,Male,White,Not Hispanic or Latinx,"Water Lilies, Giverny",1986,73.66,11.43,8.89,6.985,8.89,101.6127,62.09665,163.70935,599.96,0.2728671078,janson,,,,,,,,,,,29,,4.5,3.5,2.75,3.5
Claude Monet,4,,45,French,Male,White,Not Hispanic or Latinx,"The River (Au Bord de l'Eau, Bennecourt)",1991,100.6475,8.255,10.16,8.255,8.89,83.8708,73.38695,157.25775,592.8,0.2652796053,janson,,,,,,,,,,,39.625,,3.25,4,3.25,3.5
Claude Monet,4,,45,French,Male,White,Not Hispanic or Latinx,"Water Lilies, Giverny",1991,73.66,11.43,8.89,10.16,8.89,101.6127,90.3224,191.9351,592.8,0.3237771592,janson,,,,,,,,,,,29,,4.5,3.5,4,3.5
Claude Monet,5,,45,French,Male,White,Not Hispanic or Latinx,"Red Boats, Argenteuil",1995,81.28,6.985,8.89,7.62,8.89,62.09665,67.7418,129.83845,618.45,0.2099417091,janson,,,,,,,,,,,32,,2.75,3.5,3,3.5
Claude Monet,5,,45,French,Male,White,Not Hispanic or Latinx,"The River (Au Bord de l'Eau, Bennecourt)",1995,100.6475,8.255,9.8425,15.875,8.89,81.2498375,141.12875,222.3785875,618.45,0.3595740763,janson,,,,,,,,,,,39.625,,3.25,3.875,6.25,3.5
Claude Monet,5,,45,French,Male,White,Not Hispanic or Latinx,"Water Lilies, Giverny",1995,73.66,13.6525,10.795,14.605,8.89,147.3787375,129.83845,277.2171875,618.45,0.4482451087,janson,,,,,,,,,,,29,,5.375,4.25,5.75,3.5
Claude Monet,6,,45,French,Male,White,Not Hispanic or Latinx,"On the Bank of the Seine, Bennecourt",2001,100.6475,8.255,9.8425,8.89,8.89,81.2498375,79.0321,160.2819375,640.2,0.2503622891,janson,,,,,,,,,,,39.625,,3.25,3.875,3.5,3.5
