Yearof Publication,Artist,CountToDate,TotalAreaText(cm^2)
,Susan Russel,1,
2009,Susan Rothenberg,3,58.59
2005,Susan Rothenberg,2,55.18
2001,Susan Rothenberg,1,67.5
,Susan Howe,1,
,Susan Grayson,1,
,Susan Britton,1,
,Susan Black,1,
,Susan B. Laufer,1,
,Suruchi Chand,1,
,Surasi Kusolwong,1,
,Sungmi Lee,1,
,Sung Baik,1,
,Sukey Krumholz,1,
,Suikin Amano,1,
,Sue Webster,1,
,Sue Coe,1,
,Su-Mei Tse,1,
,Su Friedrich,1,
,Sturtevant,1,
,Stuart Sherman,1,
2020,Stuart Davis,13,50.22
2016,Stuart Davis,12,58.88
2013,Stuart Davis,11,65.1
2009,Stuart Davis,10,60.45
2005,Stuart Davis,9,58.74
2001,Stuart Davis,8,74.7
1996,Stuart Davis,7,132.3
1991,Stuart Davis,6,138.6
1986,Stuart Davis,5,138.6
1980,Stuart Davis,4,128.52
1975,Stuart Davis,3,126
1959,Stuart Davis,2,36.6
1948,Stuart Davis,1,35.4
,Stuart Croft,1,
,Stojan Celic,1,
,Steven Seaberg,1,
,Steven Koplan,1,
,Steven Holl,1,
,Steven Colpan,1,
,Steven Brower,1,
,Steven Avedisian,1,
,Steve Paxton,1,
,Steve McQueen,1,
,Steve Keister,1,
,Steve Jennis,1,
,Steve Heffernan,1,
,Steve Gianakos,1,
,Steve Fagin,1,
,Steve Barry,1,
,Stephen Willats,1,
,Stephen Shore,1,
,Stephen Scheer,1,
,Stephen Pusey,1,
,Stephen Prina,1,
,Stephen Miller,1,
,Stephen Lynn Berens,1,
,Stephen Goodman,1,
,Stephen Ellis,1,
,Stephen C. Foster,1,
,Stephen Buckley,1,
,Stephen Armellino,1,
,Stephen Antonsen,1,
,Stephen Antonakos,1,
,Stephen Ancona,1,
,Stephen Alajian,1,
,Stephanie Woodard,1,
,Stephanie Bernheim,1,
,Stephanie Bart-Horvath,1,
,Stephan Huber,1,
,Sten Didrik Bellander,1,
,Stein Clarence,1,
,Stefano Arienti,1,
,Stefan Moore,1,
,Stefan Gierowski,1,
,Stefan Eins,1,
,Stefan Corinth,1,
,Steam Power Systems,1,
,Stano Filko,1,
,Stanley William Hayter,1,
,Stanley Tigerman,1,
